ID,Pantalla / Vista,Elemento,Tipo de prueba,Descripción de la prueba,Pasos para reproducir,Resultado esperado,Resultado obtenido,Estado,Observaciones,Notas Técnicas
DIR-001,DirectorioPage,Pantalla completa,UI - Carga general,Validar carga completa de la pantalla principal del directorio con todos sus elementos visuales,1. Abrir la aplicación\n2. Loggearse como usuario médico\n3. Desde la pantalla Home acceder al módulo Directorio\n4. Verificar todos los elementos de la pantalla,"Pantalla se muestra correctamente con:
- AppBar con título ""Directorio""
- BannerMedico con nombre y código de filiación del usuario
- Lista con 4 elementos del directorio (Médicos, Hospitales, Clínicas, Otros servicios)
- Cada elemento con imagen y título visible
- Área scrolleable configurada",,,Pendiente,Precondición: Usuario autenticado desde Home
DIR-002,DirectorioPage,AppBar,UI - Elemento,Validar AppBar con título correcto y estilo,1. Acceder a la pantalla Directorio\n2. Verificar el AppBar superior,AppBar visible con título "Directorio" en español y estilo AppBarPhone aplicado,,,Pendiente,Título obtenido de esMessages.mx.directory.value
DIR-003,DirectorioPage,BannerMedico,UI - Componente,Verificar banner del médico con información del usuario,1. Acceder a la pantalla Directorio\n2. Observar el banner superior debajo del AppBar,Banner visible con nombre completo del usuario y código de filiación correctos,,,Pendiente,Datos obtenidos de _c.user.nombreCompleto y _c.user.codigoFiliacion
DIR-004,DirectorioPage,Lista de elementos,UI - Estructura,Validar estructura de lista con 4 elementos del directorio,1. Acceder a la pantalla Directorio\n2. Verificar la lista principal,"Lista muestra exactamente 4 elementos:
1. ""Médicos"" con subtítulo ""Médicos en convenio""
2. ""Hospitales"" con subtítulo ""Hospitales en convenio""
3. ""Clínicas"" con subtítulo ""Clínicas en convenio""
4. ""Otros servicios de salud"" con subtítulo ""Otros servicios de salud en convenio""",,,Pendiente,Altura de lista configurada al 80% de pantalla
DIR-005,DirectorioPage,Elemento Médicos,UI - Item específico,Verificar elemento de Médicos con imagen y texto correcto,1. Acceder a la pantalla Directorio\n2. Localizar el primer elemento de la lista,"Elemento ""Médicos"" visible con:
- Imagen de doctores (assets/dir_doctores.png)
- Título ""Médicos""
- Card con padding y estilo correcto",,,Pendiente,Widget ItemsMenuDirectory con img y jwt
DIR-006,DirectorioPage,Elemento Hospitales,UI - Item específico,Verificar elemento de Hospitales con imagen y texto correcto,1. Acceder a la pantalla Directorio\n2. Localizar el segundo elemento de la lista,"Elemento ""Hospitales"" visible con:
- Imagen de hospitales (assets/dir_hospitales.png)
- Título ""Hospitales""
- Card con padding y estilo correcto",,,Pendiente,idPage: 'hospitales'
DIR-007,DirectorioPage,Elemento Clínicas,UI - Item específico,Verificar elemento de Clínicas con imagen y texto correcto,1. Acceder a la pantalla Directorio\n2. Localizar el tercer elemento de la lista,"Elemento ""Clínicas"" visible con:
- Imagen de clínicas (assets/dir_clinicas.png)
- Título ""Clínicas""
- Card con padding y estilo correcto",,,Pendiente,idPage: 'clinicas'
DIR-008,DirectorioPage,Elemento Otros servicios,UI - Item específico,Verificar elemento de Otros servicios con imagen y texto correcto,1. Acceder a la pantalla Directorio\n2. Localizar el cuarto elemento de la lista,"Elemento ""Otros servicios de salud"" visible con:
- Imagen de otros servicios (assets/dir_otrosServiciosSalud.png)
- Título ""Otros servicios de salud""
- Card con padding y estilo correcto",,,Pendiente,idPage: 'otros_servicios'
DIR-009,DirectorioPage,Widget ItemsMenuDirectory,UI - Responsive,Validar diseño responsive del widget de elementos,1. Acceder a la pantalla Directorio\n2. Verificar dimensiones de los elementos en diferentes resoluciones,"Cada elemento del directorio:
- Altura fija: 95px
- Ancho responsive: context.scale(330)
- Layout horizontal: imagen izquierda, texto derecha
- Padding simétrico aplicado",,,Pendiente,Widget personalizado con responsive_extension
DIR-010,DirectorioPage,Scroll de lista,UI - Comportamiento,Verificar scroll de la lista de elementos,1. Acceder a la pantalla Directorio\n2. Intentar hacer scroll en la lista si es necesario,Lista permite scroll suave si el contenido excede el área visible,,,Pendiente,Physics configurado como NeverScrollableScrollPhysics en el padre
